,Consumption,Forecast D-1,Forecast D,Fuel oil,Coal,Gas,Nuclear,Wind,Solar,Hydraulic,Hydralic pumping,Bioenergies,Physical exchange,Fossil,Renewable
2021-03-31,43.610580999999996,43.80435,43.641525,0.07725,0.224803,3.787687,31.7168575,3.7059655,1.2042925,5.8067165,-0.4857145,0.847804,-3.2112694999999998,4.08974,11.5647785
2021-04-30,37.448184,37.2903,37.33075,0.0770505,0.185816,2.718797,27.192642,2.940904,1.510155,3.9184565,-0.4233635,0.7912885,-1.404199,2.9816635,9.160804
2021-05-31,34.739294,34.424609,34.412525,0.0742895,0.0165845,1.0957459999999999,27.5540665,3.94358,1.544902,6.140414,-0.4876795,0.8400725,-5.955161,1.18662,12.4689685
2021-06-30,31.7872765,31.71545,31.6973,0.063674,0.030356499999999998,1.3842805,27.6940135,1.340653,1.609642,6.15208,-0.372512,0.7811455,-6.8535915,1.478311,9.8835205
2021-07-31,32.6560155,32.4526,32.477925,0.051605,0.056786500000000004,1.3859675,28.434553,2.29743,1.6456655,5.556515,-0.3263555,0.9042855,-7.2867755,1.494359,10.403896
2021-08-31,30.8973405,30.572,30.67208,0.055689,0.071408,0.71396,28.993616499999998,2.217365,1.6739865,4.3664885,-0.3753305,0.861791,-7.623894,0.8410569999999999,9.119631
2021-09-30,32.105496,32.022149999999996,32.05631,0.0540815,0.495954,1.5447945,28.989085499999998,1.6554324999999999,1.3903265,3.3777635,-0.3868465,0.8139425,-5.787041,2.09483,7.237465
2021-10-31,36.564746,36.2107,36.23285,0.080221,0.5984225,1.8125875,30.601435,3.483662,1.182854,2.9841645,-0.6444445,0.83152,-4.3129705,2.491231,8.4822005
2021-11-30,44.2711105,43.9902,43.91391,0.1426975,0.566603,4.9602195,30.357657,2.72586,0.652844,3.923769,-0.642771,0.8361725,0.7905679999999999,5.66952,8.1386455
2021-12-31,49.182105,48.46025,48.466485,0.1055745,0.5167545,5.041019,31.49117,4.3534835,0.5200835,5.2070415,-0.8128075,0.8572155,1.9473685,5.663348,10.937823999999999
2022-01-31,52.164771,51.6809,51.642920000000004,0.1208785,0.7742020000000001,5.2429225,35.205926500000004,3.1407785,0.744922,5.815253,-0.69431,0.8821945,0.990876,6.138003,10.583148
2022-02-28,42.859355,42.26175,42.06904,0.078129,0.5173435,3.789251,29.5668035,5.271307,0.9625055,4.337503,-0.626857,0.855979,-1.8414145,4.3847235,11.4272945
2022-03-31,42.6703835,41.7918,41.73871,0.121505,0.433043,4.6185515,26.875516,3.498144,1.3368740000000001,4.5274175,-0.6094235,0.9323845,0.993787,5.1730995,10.29482
2022-04-30,36.85151,35.84075,35.866535,0.092456,0.066885,3.275528,21.753619,3.5691,1.725603,4.992156,-0.552351,0.8584905,1.1180174999999999,3.434869,11.1453495
2022-05-31,32.589524,32.349000000000004,32.43012,0.074907,0.0291465,2.804694,20.5158415,2.1158555,2.2526865,4.9664575,-0.514536,0.9641045,-0.587907,2.9087475,10.299104
2022-06-30,32.031239,31.834011,31.814253,0.101874,0.0246005,2.34421,20.1627525,1.829618,2.16418,3.988204,-0.444635,0.8424235,1.0654685,2.4706845,8.8244255
2022-07-31,33.335846,33.246,33.238235,0.13816799999999999,0.0180085,2.957552,18.7695195,1.869523,2.5311505,3.44388,-0.47532050000000003,0.887869,3.2510875,3.1137285,8.7324225
2022-08-31,31.487371500000002,31.29605,31.35255,0.0678665,0.015079,2.8011435000000002,18.1176735,2.0701405,2.236558,2.6761415,-0.541164,0.861696,3.2325245,2.884089,7.844536
2022-09-30,31.436989,31.32325,31.23437,0.075157,0.010485,3.141106,18.173654,2.2871065,1.7660865000000001,2.430979,-0.619178,0.8825965,3.33114,3.226748,7.3667685
2022-10-31,32.0607125,31.81265,31.737075,0.0518445,0.0308055,3.695021,20.1868105,3.5111385,1.2476585,3.022484,-0.761391,0.8293245,0.292362,3.777671,8.6106055
2022-11-30,36.8405375,36.3927,36.34564,0.0616815,0.22585,4.3444215,21.5766315,4.8571495,0.8020505,3.8463085,-0.7645295,0.853291,1.0827225,4.631953,10.3587995
2022-12-31,45.82403,45.2936,45.093645,0.148829,0.7204505,4.9416519999999995,27.899837,4.615307,0.4701285,5.0928445,-0.8337105,0.903798,1.9121465,5.8109315,11.082078
